,run,model,score
0,0,knn,0.9676470588235294
1,0,mlp,0.9098039215686274
2,0,lvq,0.0196078431372549
3,1,knn,0.9745098039215686
4,1,mlp,0.9215686274509803
5,1,lvq,0.0196078431372549
6,2,knn,0.9715686274509804
7,2,mlp,0.8901960784313725
8,2,lvq,0.0196078431372549
9,3,knn,0.9705882352941176
10,3,mlp,0.9343137254901961
11,3,lvq,0.0196078431372549
12,4,knn,0.9794117647058823
13,4,mlp,0.9274509803921569
14,4,lvq,0.0196078431372549
15,5,knn,0.9705882352941176
16,5,mlp,0.9088235294117647
17,5,lvq,0.0196078431372549
18,6,knn,0.9754901960784313
19,6,mlp,0.9205882352941176
20,6,lvq,0.0196078431372549
21,7,knn,0.9666666666666667
22,7,mlp,0.9235294117647059
23,7,lvq,0.0196078431372549
24,8,knn,0.9705882352941176
25,8,mlp,0.9382352941176471
26,8,lvq,0.0196078431372549
27,9,knn,0.9696078431372549
28,9,mlp,0.9166666666666666
29,9,lvq,0.0196078431372549
